"ASIN","Brand","Category","SalesRank"
"B00NI2CF28","PORTER-CABLE","Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Metal-Cutting & Chop Saws","0"
"B08J8GNNTW","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Grinders,Angle Grinders","0"
"B077ZYMK1W","MILWAUKEE'S","Tools & Home Improvement,Power & Hand Tools,Power Tools,Impact Drivers","0"
"B00O13K9JY","BLACK+DECKER","Tools & Home Improvement,Power & Hand Tools,Power Tools,Screw Guns & Screwdrivers,Power Screwdrivers","0"
"B07YD15B87","Diment Power","Tools & Home Improvement,Power & Hand Tools,Power Tools,Grinders,Angle Grinders","0"
"B00A8DXKXS","WEN","Tools & Home Improvement,Power & Hand Tools,Power Tools,Rotary Tools","0"
"B009ELXH1K","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Grinders,Angle Grinders","0"
"B006V6YAPI","BLACK+DECKER","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers","0"
"B00ET5VMTU","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers","0"
"B00IJ0ALYS","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Combo Kits","0"
"B085B253MD","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Oscillating Tools","0"
"B07KL4QGSQ","WEN","Tools & Home Improvement,Power & Hand Tools,Power Tools,Sanders,Belt Sanders","0"
"B079WCPPQD","Bissell","Tools & Home Improvement,Power & Hand Tools,Power Tools,Wet-Dry Vacuums","0"
"B000I1VHG2","ALLWAY","Tools & Home Improvement,Power & Hand Tools,Power Tools,Concrete Tools,Concrete Mixers","0"
"B005NNF0YU","BLACK+DECKER","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers","0"
"B01LBT3AZU","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers","0"
"B00C625KVE","BLACK+DECKER","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers","0"
"B07R9PNRBD","Dremel","Tools & Home Improvement,Power & Hand Tools,Power Tools,Rotary Tools","0"
"B082BTT92H","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Reciprocating Saws","0"
"B07NQS465R","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Right-Angle Drills","0"
"B089GY782V","APEXFORGE","Tools & Home Improvement,Power & Hand Tools,Power Tools,Rotary Tools","0"
"B07VBB55X5","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Oscillating Tools","0"
"B077H7JP1D","MILWAUKEE'S","Tools & Home Improvement,Power & Hand Tools,Power Tools,Impact Wrenches","0"
"B07KHHDJGD","Craftsman","Tools & Home Improvement,Power & Hand Tools,Power Tools,Air Compressors & Inflators,Portable Air Compressors","0"
"B07VYLSYQ6","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Circular Saws","0"
"B014QUP28E","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Sanders,Random-Orbit Sanders","0"
"B00UHNM60C","Bostitch","Tools & Home Improvement,Power & Hand Tools,Power Tools,Air Compressors & Inflators,Portable Air Compressors","0"
"B00OJWLNMO","BLACK+DECKER","Tools & Home Improvement,Power & Hand Tools,Power Tools,Sanders,Detail Sanders","0"
"B074BR5RV9","Vacmaster","Industrial & Scientific,Janitorial & Sanitation Supplies,Vacuums & Floor Cleaning Machines,Vacuums,Wet-Dry Vacuums","0"
"B000077CPT","Black & Decker","Tools & Home Improvement,Power & Hand Tools,Power Tools,Polishers & Buffers","0"
"B00004SUQW","Malco","Tools & Home Improvement,Power & Hand Tools,Power Tools,Nailers & Staplers,Nailers,Siding Nailers","0"
"B07VM9JCN5","Arcan","Tools & Home Improvement,Power & Hand Tools,Power Tools,Impact Wrenches","0"
"B0746SBGXS","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Air Compressors & Inflators,Portable Air Compressors","0"
"B07QV6ZYVJ","GALAX PRO","Tools & Home Improvement,Power & Hand Tools,Power Tools,Oscillating Tools","0"
"B07GZFN7LT","Makita","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers","0"
"B07GRNGH5Y","GALAX PRO","Tools & Home Improvement,Power & Hand Tools,Power Tools,Oscillating Tools","0"
"B07QW55TPV","ENEACRO","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Demolition Drills & Hammers,Rotary Hammers","0"
"B07R7TNR66","POWERGIANT","Tools & Home Improvement,Power & Hand Tools,Power Tools,Screw Guns & Screwdrivers,Power Screwdrivers","0"
"B08J8DZYT1","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Circular Saws","0"
"B001FA14N6","MILWAUKEE'S","Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Circular Saws","0"
"B08R5WDDRL","SnapFresh","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers","0"
"B003X2QM3G","Air Locker","Tools & Home Improvement,Power & Hand Tools,Power Tools,Nailers & Staplers,Nailers,Framing Nailers","0"
"B003BEE2LU","BOSCH","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers","0"
"B07KL4L9KM","WEN","Tools & Home Improvement,Power & Hand Tools,Power Tools,Planers,Benchtop Planers","0"
"B07VFRPMWD","INTERACTIVIA","Tools & Home Improvement,Power & Hand Tools,Power Tools,Sand Blasters","0"
"B07FDL1TW5","Skil","Tools & Home Improvement,Power & Hand Tools,Power Tools,Sanders,Detail Sanders","0"
"B01LX8KOAD","BLACK+DECKER","Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Circular Saws","0"
"B0183RLWIK","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers","0"
"B07RBMNCDQ","Craftsman","Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Miter Saws","0"
"B01LW6OEMU","WORX","Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Reciprocating Saws","0"
"B08F9RFJ2K","Skil","Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Table Saws","0"
"B0001GMENE","Milescraft","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drill Presses,Benchtop Drill Presses","0"
"B08BFW761F","Meterk","Tools & Home Improvement,Power & Hand Tools,Power Tools,Sanders,Random-Orbit Sanders","0"
"B07M8JTDNS","Makita","Tools & Home Improvement,Power & Hand Tools,Power Tools,Wet-Dry Vacuums","0"
"B07H27G9NF","wowstick","Tools & Home Improvement,Power & Hand Tools,Power Tools,Screw Guns & Screwdrivers,Power Screwdrivers","0"
"B01D61NSUS","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Impact Wrenches","0"
"B00HQONFY6","WEN","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drill Presses,Stationary Drill Presses","0"
"B08DVB4CSV","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Wet-Dry Vacuums","0"
"B000VZAENC","Ingersoll Rand","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Demolition Drills & Hammers,Hammer Drills","0"
"B0842QDW95","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Table Saws","0"
"B00OJ72L84","BLACK+DECKER","Tools & Home Improvement,Power & Hand Tools,Power Tools,Saws,Jig Saws","0"
"B00LPFIPQ0","WEN","Tools & Home Improvement,Power & Hand Tools,Power Tools,Grinders,Bench Grinders","0"
"B07QJ97BHQ","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers","0"
"B089GSGJY7","APEXFORGE","Tools & Home Improvement,Power & Hand Tools,Power Tools,Rotary Tools","0"
"B006CSRBTC","MILWAUKEE'S","Tools & Home Improvement,Power & Hand Tools,Power Tools,Ratchet Wrenches","0"
"B00KYNW7MC","Dewalt","Tools & Home Improvement,Power & Hand Tools,Power Tools,Drills,Drill Drivers","0"
"B07D36QNQ5","TECCPO","Tools & Home Improvement,Power & Hand Tools,Power Tools,Screw Guns & Screwdrivers,Power Screwdrivers","0"
"B00004SUOU","BOSCH","Tools & Home Improvement,Power & Hand Tools,Power Tools,Grinders,Angle Grinders","0"
"B00FNDMZIO","MILWAUKEE'S","Tools & Home Improvement,Power & Hand Tools,Power Tools,Grinders,Angle Grinders","0"
"B0812ZHY5N","ENERTWIST","Tools & Home Improvement,Power & Hand Tools,Power Tools,Screw Guns & Screwdrivers,Power Screwdrivers","0"
