"ASIN","Brand","Category","SalesRank"
"B08WZG2XCW","Card Game","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","31863"
"B004U7OPV4","Resident Evil","Toys & Games,Games & Accessories,Card Games","288979"
"B00APE8F9E","Steve Jackson Games","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","891967"
"B08QZM514Y","Pokemon","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","1114"
"B07V39DYTG","Japanime Games","","396223"
"B08FTF846Z","Asmodee","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","1104320"
"B07FKRJYDX","Japanime Games","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","198027"
"B08WF4S85N","Magic The Gathering","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","5226"
"B003ULOMQ4","Hanayama","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","1980899"
"B003UP9RYW","Patch Products Inc.","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","340060"
"B079TK64M1","Portal Games","Toys & Games,Games & Accessories,Card Games","194281"
"B00000DMBG","Winning Moves Games","Toys & Games,Games & Accessories,Card Games","410898"
"B0036I7S80","moses","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","674259"
"B002NXS4A0","Mattel Games","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","553406"
"B076PQ8DTF","Hasbro Gaming","","67236"
"B00J57VU44","Gamewright","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","735"
"B07ZXR31DL","Black Card Revoked","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","2735"
"B07CXZC3FW","Gamewright","","5715"
"B08CY9HHK5","Brain Blox","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","27958"
"1572810939","U.S. Games Systems","Toys & Games,Games & Accessories,Card Games","11054"
"B07K1GB6LS","SO ...","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","8994"
"B016715XXY","Mattel","Toys & Games,Games & Accessories,Card Games","18676"
