"ASIN","Brand","Category","SalesRank"
"B004HVKAAI","Peaceable Kingdom","Toys & Games,Games & Accessories,Board Games","5876"
"B07VVLQ5LS","Monopoly","Toys & Games,Games & Accessories,Board Games","3817"
"B01ALHAIWG","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","2863"
"B003D7F4YY","Gamewright","Toys & Games,Games & Accessories,Board Games","4414"
"B01NH4ZWUV","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","5175"
"B016LBWYTQ","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","4738"
"B00EIJU40U","Winning Moves Games","Toys & Games,Games & Accessories,Board Games","4723"
"B07H185K6H","Underdog Games","Toys & Games,Games & Accessories,Board Games","3507"
"B07F2PVXTN","Fat Brain Toys","Toys & Games,Games & Accessories,Board Games","4814"
"B013TJ5P80","Libellud","Toys & Games,Games & Accessories,Board Games","5938"
"B08NGTXW57","Crazy Games","Toys & Games,Games & Accessories,Board Games","3796"
"B013KBZDF2","Little Treasures","Toys & Games,Games & Accessories,Board Games","4693"
"B00HG912FU","Tactic Games US","Toys & Games,Games & Accessories,Board Games","5486"
"B01N3A4070","Blue Orange","Toys & Games,Games & Accessories,Board Games","3731"
"B00001NTXN","GIGAMIC","Toys & Games,Games & Accessories,Board Games","7552"
"B01ALHAMTK","Monopoly","Toys & Games,Games & Accessories,Board Games","5147"
"B07QBVWFSP","Monopoly","Toys & Games,Games & Accessories,Board Games","5206"
"B014R11FJW","Ultra Pro","Toys & Games,Games & Accessories,Board Games","4013"
"2914849656","Libellud","Toys & Games,Games & Accessories,Board Games","5882"
"B08CZXWKPX","Trouble","Toys & Games,Games & Accessories,Board Games","5686"
"B00EFDXAB4","Winning Moves Games","Toys & Games,Games & Accessories,Board Games","3394"
"B088QSDB7S","Cephalofair Games","Toys & Games,Games & Accessories,Board Games","2484"
"B01N4MXCK4","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","3450"
"B083YKWBC1","Monopoly","Toys & Games,Games & Accessories,Board Games","1505"
