,ASIN,Brand,Category,SalesRank,US_BrandURL,JP_BrandURL,AliBrandURL,GoglBrandURL
27764,B08J47H3GF,XMHF,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters",1031797,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AXMHF,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AXMHF,https://www.aliexpress.com/af/XMHF.html,https://www.google.com/search?q=XMHF
13,B00HV0NH7K,Bunn,"Appliances,Parts & Accessories,Cooktop Parts & Accessories",1276592,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ABunn,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ABunn,https://www.aliexpress.com/af/Bunn.html,https://www.google.com/search?q=Bunn
41781,B075LDKVKK,KUNHEWUHUA,"Home & Kitchen,Kitchen & Dining,Small Appliances,Electric Cake Pop & Mini Cake Makers,Mini Donut Makers",1357512,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AKUNHEWUHUA,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AKUNHEWUHUA,https://www.aliexpress.com/af/KUNHEWUHUA.html,https://www.google.com/search?q=KUNHEWUHUA
58,B00LPU4834,Stanco Metal Prod,"Appliances,Parts & Accessories,Range Parts & Accessories,Burner Rings",1451909,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AStanco+Metal+Prod,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AStanco+Metal+Prod,https://www.aliexpress.com/af/Stanco+Metal+Prod.html,https://www.google.com/search?q=Stanco+Metal+Prod
53,B07JLLMBDM,APPLIANCEPARTS2U,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Ice Makers",1534676,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AAPPLIANCEPARTS2U,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AAPPLIANCEPARTS2U,https://www.aliexpress.com/af/APPLIANCEPARTS2U.html,https://www.google.com/search?q=APPLIANCEPARTS2U
41799,B00EMQMHK4,Southbend Range,"Appliances,Parts & Accessories,Cooktop Parts & Accessories",1987688,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ASouthbend+Range,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ASouthbend+Range,https://www.aliexpress.com/af/Southbend+Range.html,https://www.google.com/search?q=Southbend+Range
41795,B00HWS5ZV2,HATCO,"Appliances,Parts & Accessories,Range Parts & Accessories",2048578,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AHATCO,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AHATCO,https://www.aliexpress.com/af/HATCO.html,https://www.google.com/search?q=HATCO
41789,B00QJCPIL4,Uniweld,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories",2214330,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AUniweld,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AUniweld,https://www.aliexpress.com/af/Uniweld.html,https://www.google.com/search?q=Uniweld
27813,B007FNC7UG,Kitchen Advance,"Home & Kitchen,Kitchen & Dining,Small Appliances",2530520,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AKitchen+Advance,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AKitchen+Advance,https://www.aliexpress.com/af/Kitchen+Advance.html,https://www.google.com/search?q=Kitchen+Advance
27766,B083QMLBSN,Service Parts,"Home & Kitchen,Kitchen & Dining,Small Appliances",2590093,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AService+Parts,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AService+Parts,https://www.aliexpress.com/af/Service+Parts.html,https://www.google.com/search?q=Service+Parts
41792,B00N99KE50,Champion,"Appliances,Parts & Accessories,Cooktop Parts & Accessories",2739606,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AChampion,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AChampion,https://www.aliexpress.com/af/Champion.html,https://www.google.com/search?q=Champion
