,ASIN,Brand,Category,SalesRank,BrandURL
44035,B077RG3DQ5,Ardonn,"Handmade Products,Jewelry,Rings,Stacking",822552,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AArdonn
44152,B01N5G56DK,Hand Stamped Crafts,"Handmade Products,Handmade Wedding,Jewelry & Jewelry Accessories,Bracelets,Bangles",829157,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AHand+Stamped+Crafts
42196,B01AOTRUPO,Hawaii Jewel,"Handmade Products,Jewelry,Earrings,Drop & Dangle",831765,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AHawaii+Jewel
562,B07HFGT8J6,LLD Jewelry Designs,"Handmade Products,Jewelry,Necklaces,Pendant",836390,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ALLD+Jewelry+Designs
42617,B07JW7W9C6,BeAPillowholic,"Handmade Products,Home & Kitchen,Furniture,Living Room Furniture,Footstools & Ottomans",837044,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ABeAPillowholic
49875,B07H5CXWZZ,Eiji,"Handmade Products,Jewelry,Necklaces,Pendant",842021,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AEiji
42695,B01N7G9XDC,YafitGlass,"Handmade Products,Handmade Wedding,Wedding Décor,Candles & Holders,Candle Holders",844467,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AYafitGlass
43401,B07FBBGYLZ,Leena Fahhion World,"Handmade Products,Clothing, Shoes & Accessories,Women,Clothing,Dresses",854651,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ALeena+Fahhion+World
42189,B01B3PDPLG,LandOfMacrame,"Handmade Products,Home & Kitchen,Home Décor,Tapestries",860738,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ALandOfMacrame
3298,B01BIWX01E,MetalDiorama & WoodArt,"Handmade Products,Home & Kitchen,Home Décor,Decorative Accessories,Sculptures",886809,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMetalDiorama+&+WoodArt
42305,B017BFFNEY,Gazelle Jewelry,"Handmade Products,Jewelry,Necklaces,Pendant",888573,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AGazelle+Jewelry
45208,B01MSPA6UA,Alchemist Chamber,"Handmade Products,Home & Kitchen,Home Décor,Decorative Accessories,Sculptures",898265,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AAlchemist+Chamber
3049,B01N0CQV5S,SimpleCraftIdeas,"Handmade Products,Clothing, Shoes & Accessories,Luggage & Travel Gear,Bags,Messenger Bags",901905,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ASimpleCraftIdeas
50415,B076FT6Q5W,Jewelry Infinite,"Handmade Products,Jewelry,Necklaces,Pendant",901928,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AJewelry+Infinite
50642,B01N8V4QM2,Studio Meme,"Handmade Products,Jewelry,Body Jewelry,Piercing Jewelry",904207,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AStudio+Meme
50198,B07169NPWX,Makeistry,Handmade,909364,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMakeistry
43528,B01N52VOZS,Etz-Ron,"Handmade Products,Home & Kitchen",922342,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AEtz-Ron
43018,B016U2L6M2,NoWayOut MakeMyDay,"Handmade Products,Handmade Wedding,Jewelry & Jewelry Accessories,Necklaces,Pendants",924600,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ANoWayOut+MakeMyDay
45188,B071WZ3PKY,NUNTCHI- metal sculptures,"Handmade Products,Home & Kitchen,Home Décor,Decorative Accessories,Figurines",929327,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ANUNTCHI-+metal+sculptures
44134,B06ZXS7V6N,Alagia,"Handmade Products,Jewelry,Body Jewelry,Piercing Jewelry,Hoops",932652,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AAlagia
42325,B06XY17H1C,The Common Sign,"Handmade Products,Home & Kitchen,Patio, Lawn & Garden,Outdoor Décor,Yard Signs",938319,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AThe+Common+Sign
3318,B0190UL248,Ninolia,"Handmade Products,Handmade Wedding,Jewelry & Jewelry Accessories,Necklaces,Chokers",939246,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ANinolia
45221,B01LLPX9PU,Noa Sharon Designs,"Handmade Products,Jewelry,Earrings,Hoop",944719,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ANoa+Sharon+Designs
3024,B06Y3HSWK3,Marcy Jo Creations,"Handmade Products,Jewelry,Jewelry Sets",947245,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMarcy+Jo+Creations
3315,B019EIJO6E,WoodenRings:com,"Handmade Products,Jewelry,Rings,Band",961870,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AWoodenRings:com
50214,B01NBIOV2A,Times Hemp Company,"Handmade Products,Toys & Games,Plushies & Stuffed Animals",963700,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ATimes+Hemp+Company
50226,B01N3VIBEU,The Pink Hill Jewelry,"Handmade Products,Handmade Wedding,Jewelry & Jewelry Accessories,Necklaces,Pendants",964557,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AThe+Pink+Hill+Jewelry
42252,B015VKEV6M,Starry Dreams Jewellery Designs,"Handmade Products,Jewelry,Bracelets,Link",977586,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AStarry+Dreams+Jewellery+Designs
42198,B01AH4K7VU,Old Master Pen Shoppe,Handmade,983641,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AOld+Master+Pen+Shoppe
1290,B01FMGO0XE,Crochet on a tree,"Handmade Products,Baby,Nursery,Nursery Décor,Mobiles",984301,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ACrochet+on+a+tree
3342,B017JDHUWG,sarah Anns,"Handmade Products,Home & Kitchen,Home Décor,Throw Pillows",995349,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3Asarah+Anns
42244,B016CP0OG6,Marj Bates Studios,"Handmade Products,Home & Kitchen,Lighting,Lamps,Lamp Shades",995498,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMarj+Bates+Studios
3366,B07KGLFL3R,Tigrani Silver,"Handmade Products,Jewelry,Rings,Band",1004389,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ATigrani+Silver
99,B082L4GWHY,TATUL,"Handmade Products,Jewelry,Necklaces,Chain",1008346,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ATATUL
44887,B07TWVN797,Doozie Light Studio,"Handmade Products,Home & Kitchen,Lighting,Ceiling Lighting",1010900,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ADoozie+Light+Studio
3228,B07DFJC22P,Radha Mulder,"Handmade Products,Jewelry,Earrings,Hoop",1011108,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ARadha+Mulder
3175,B07PKRVXQQ,Coin Jewelry Noa Tam.,"Handmade Products,Jewelry,Necklaces,Pendant",1011136,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ACoin+Jewelry+Noa+Tam.
