,ASIN,Brand,Category,SalesRank,BrandURL
118,B08R8D16PW,Generic,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Face Moisturizers",107709,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AGeneric
174,B00BT01XE2,Cortex Professional,"Beauty & Personal Care,Hair Care,Styling Tools & Appliances,Irons,Straighteners",108502,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACortex+Professional
132,B083M5J79C,Estee Lauder,"Beauty & Personal Care,Fragrance,Women's,Eau de Parfum",109174,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AEstee+Lauder
113,B01FEDQ1V4,Bio Ionic,"Beauty & Personal Care,Hair Care,Styling Tools & Appliances,Irons,Straighteners",113153,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ABio+Ionic
99,B00JJVPWLI,Viktor %26 Rolf,"Beauty & Personal Care,Fragrance,Women's,Eau de Parfum",113438,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AViktor+%26+Rolf
45,B07PYZ3V9N,Healthair,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",114035,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AHealthair
153,B016APLDVS,CHARLOTTE TILBURY,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers",115564,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACHARLOTTE+TILBURY
225,B091CP4J4T,ACEVIVI,"Beauty & Personal Care,Foot, Hand & Nail Care,Tools & Accessories,Foot Baths & Spas",117041,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AACEVIVI
137,B07VF9QXYM,Brickell Men's Products,"Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Serums",122485,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ABrickell+Men's+Products
105,B084WZC16V,Hansong,"Beauty & Personal Care,Tools & Accessories,Mirrors,Makeup Mirrors",123081,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AHansong
161,B00FQ1E680,MOROCCAN KERATIN,"Beauty & Personal Care,Hair Care,Hair & Scalp Treatments",123840,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AMOROCCAN+KERATIN
133,B01IFYAAOI,Andis,"Beauty & Personal Care,Hair Care,Hair Cutting Tools,Hair Cutting Kits",125515,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAndis
135,B08M3SY1K6,NAMOYA,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",126529,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ANAMOYA
282,B000CESXXA,Wahl Professional,"Beauty & Personal Care,Hair Care,Hair Cutting Tools,Hair Clippers & Accessories",128781,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AWahl+Professional
240,B00JAQNIE0,Eco Health,"Beauty & Personal Care,Skin Care,Sets & Kits",129825,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AEco+Health
178,B078GQCY8G,CARTIER,"Beauty & Personal Care,Fragrance,Men's,Eau de Parfum",129858,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACARTIER
59,B08JLGYVS6,Kalolary,"Beauty & Personal Care,Foot, Hand & Nail Care,Nail Art & Polish,Nail Art Accessories,Nail Art Equipment",130185,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AKalolary
129,B08LM5W6MC,Medicube,"Beauty & Personal Care,Skin Care,Face,Toners & Astringents",130279,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AMedicube
32,B0841YGG93,GeekHouse,"Beauty & Personal Care,Tools & Accessories,Mirrors,Makeup Mirrors",130409,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AGeekHouse
5,B08HJNV4BR,GAMMAPIÙ PIÙ,"Beauty & Personal Care,Shave & Hair Removal,Men's,Electric Shavers,Foil Shavers",131379,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AGAMMAPIÙ+PIÙ
117,B08P544XKX,VOLOOM,"Beauty & Personal Care,Hair Care,Styling Tools & Appliances,Irons",131638,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AVOLOOM
165,B00Q3MV05I,Olivia Garden,"Beauty & Personal Care,Hair Care,Hair Cutting Tools,Shears",133016,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AOlivia+Garden
110,B07CP241KH,GUERLAIN,"Beauty & Personal Care,Fragrance,Men's,Eau de Parfum",133769,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AGUERLAIN
40,B0756R1WMY,Fillerina,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Night Creams",134889,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFillerina
243,B089ZQP4K2,ALot,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",136473,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AALot
53,B08NC53L1Q,Pola,"Beauty & Personal Care,Skin Care,Face,Cleansers,Washes",138743,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APola
66,B015VINITK,Gernetic International,"Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Masks",140441,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AGernetic+International
159,B07MDSFQXC,Go Smile,"Beauty & Personal Care,Oral Care,Toothbrushes & Accessories,Powered Toothbrushes & Accessories,Powered Toothbrushes,Sonic",140756,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AGo+Smile
36,B086JC4KR9,ebcosusa,"Beauty & Personal Care,Tools & Accessories,Skin Care Tools",141517,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3Aebcosusa
4,B01AW6TCLO,Lab Series,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Face Moisturizers",142923,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ALab+Series
55,B0828PBLKJ,Anterogen,"Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Serums",144223,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAnterogen
149,B01E0SCFS2,CND,"Beauty & Personal Care,Foot, Hand & Nail Care,Foot & Hand Care,Foot Creams & Lotions",146995,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACND
272,B08R6WCJCC,AMZGIRL,"Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Masks",147456,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAMZGIRL
195,B07FR9VRQP,Braun,"Beauty & Personal Care,Shave & Hair Removal,Men's,Electric Shavers,Foil Shavers",147670,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ABraun
292,B07K1LZWLX,Sensationnel,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",150379,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASensationnel
186,B078PY225H,RAINCRY,"Beauty & Personal Care,Hair Care,Styling Tools & Appliances,Hair Brushes",151016,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ARAINCRY
130,B088GY83PZ,MAST TATTOO,"Beauty & Personal Care,Personal Care,Piercing & Tattoo Supplies,Tattoo Supplies,Tattoo Machines",152237,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AMAST+TATTOO
88,B08HXC6F64,PHILIPS,"Beauty & Personal Care,Shave & Hair Removal,Men's,Electric Shavers,Rotary Shavers",153174,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APHILIPS
233,B08GLSKT6F,vogeen,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",153741,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3Avogeen
